danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.634,0.149,8,-9.349,1,0.0296,0.827,0,0.122,0.256,92.962,audio_features,56OcHDP7SgOY8hf4glCEDH,spotify:track:56OcHDP7SgOY8hf4glCEDH,https://api.spotify.com/v1/tracks/56OcHDP7SgOY8hf4glCEDH,https://api.spotify.com/v1/audio-analysis/56OcHDP7SgOY8hf4glCEDH,193430,4
0.783,0.478,1,-7.448,1,0.0562,0.0972,0,0.0365,0.458,126.012,audio_features,1P76yNLdadQMDblQsmMXvB,spotify:track:1P76yNLdadQMDblQsmMXvB,https://api.spotify.com/v1/tracks/1P76yNLdadQMDblQsmMXvB,https://api.spotify.com/v1/audio-analysis/1P76yNLdadQMDblQsmMXvB,136046,4
0.617,0.38,9,-9.275,1,0.0361,0.018,0,0.112,0.192,116.961,audio_features,4nzBST9JdZIy9qfilr93Po,spotify:track:4nzBST9JdZIy9qfilr93Po,https://api.spotify.com/v1/tracks/4nzBST9JdZIy9qfilr93Po,https://api.spotify.com/v1/audio-analysis/4nzBST9JdZIy9qfilr93Po,166610,4
0.894,0.574,8,-7.369,1,0.0971,0.0878,6.8e-05,0.255,0.529,119.959,audio_features,35kDv86L9VuUoj29YTHmE6,spotify:track:35kDv86L9VuUoj29YTHmE6,https://api.spotify.com/v1/tracks/35kDv86L9VuUoj29YTHmE6,https://api.spotify.com/v1/audio-analysis/35kDv86L9VuUoj29YTHmE6,166443,4
0.852,0.226,10,-11.838,1,0.0919,0.811,0,0.132,0.304,124.997,audio_features,3MTCUbfONUfmAbuUSPMvBf,spotify:track:3MTCUbfONUfmAbuUSPMvBf,https://api.spotify.com/v1/tracks/3MTCUbfONUfmAbuUSPMvBf,https://api.spotify.com/v1/audio-analysis/3MTCUbfONUfmAbuUSPMvBf,117120,4
0.776,0.58,1,-6.226,0,0.103,0.347,0,0.136,0.762,157.139,audio_features,7mf3iKiRBP5osWjZofxCno,spotify:track:7mf3iKiRBP5osWjZofxCno,https://api.spotify.com/v1/tracks/7mf3iKiRBP5osWjZofxCno,https://api.spotify.com/v1/audio-analysis/7mf3iKiRBP5osWjZofxCno,126350,4
0.727,0.491,3,-6.031,0,0.0592,0.498,0,0.133,0.471,113.027,audio_features,73c7iqH4lCVqu4tm66i0tY,spotify:track:73c7iqH4lCVqu4tm66i0tY,https://api.spotify.com/v1/tracks/73c7iqH4lCVqu4tm66i0tY,https://api.spotify.com/v1/audio-analysis/73c7iqH4lCVqu4tm66i0tY,191567,4
0.607,0.529,11,-8.908,0,0.0451,0.0198,0,0.173,0.339,123.023,audio_features,1C8XUj2ZHSUeeAc93r6gb9,spotify:track:1C8XUj2ZHSUeeAc93r6gb9,https://api.spotify.com/v1/tracks/1C8XUj2ZHSUeeAc93r6gb9,https://api.spotify.com/v1/audio-analysis/1C8XUj2ZHSUeeAc93r6gb9,211911,4
0.658,0.445,0,-8.749,0,0.154,0.161,0,0.0845,0.513,174.111,audio_features,03eyNjBM2mpx28H6kdaufN,spotify:track:03eyNjBM2mpx28H6kdaufN,https://api.spotify.com/v1/tracks/03eyNjBM2mpx28H6kdaufN,https://api.spotify.com/v1/audio-analysis/03eyNjBM2mpx28H6kdaufN,103240,4
0.783,0.42,2,-7.241,1,0.147,0.101,0,0.405,0.769,160.054,audio_features,2bli0H0Bl7aodrN4PszUT0,spotify:track:2bli0H0Bl7aodrN4PszUT0,https://api.spotify.com/v1/tracks/2bli0H0Bl7aodrN4PszUT0,https://api.spotify.com/v1/audio-analysis/2bli0H0Bl7aodrN4PszUT0,134943,4
0.588,0.337,0,-13.026,1,0.0654,0.677,0,0.121,0.39,144.88,audio_features,6JfGNG57afA68clug8yGs8,spotify:track:6JfGNG57afA68clug8yGs8,https://api.spotify.com/v1/tracks/6JfGNG57afA68clug8yGs8,https://api.spotify.com/v1/audio-analysis/6JfGNG57afA68clug8yGs8,169241,3
0.723,0.237,10,-10.999,1,0.044,0.706,0,0.129,0.323,85.002,audio_features,7dI05YM6f4mz6EMejbfiR6,spotify:track:7dI05YM6f4mz6EMejbfiR6,https://api.spotify.com/v1/tracks/7dI05YM6f4mz6EMejbfiR6,https://api.spotify.com/v1/audio-analysis/7dI05YM6f4mz6EMejbfiR6,118588,4
0.601,0.437,11,-5.893,0,0.0393,0.704,0,0.351,0.877,127.741,audio_features,08mpiFeuRWQeJsswcdSTDl,spotify:track:08mpiFeuRWQeJsswcdSTDl,https://api.spotify.com/v1/tracks/08mpiFeuRWQeJsswcdSTDl,https://api.spotify.com/v1/audio-analysis/08mpiFeuRWQeJsswcdSTDl,92141,4
0.872,0.457,1,-5.176,0,0.0479,0.206,0,0.136,0.757,130.044,audio_features,26rC8FAVdvtEzPBmq4BVZG,spotify:track:26rC8FAVdvtEzPBmq4BVZG,https://api.spotify.com/v1/tracks/26rC8FAVdvtEzPBmq4BVZG,https://api.spotify.com/v1/audio-analysis/26rC8FAVdvtEzPBmq4BVZG,127154,4
0.832,0.345,0,-10.454,1,0.366,0.247,0,0.101,0.602,114.98,audio_features,6PpRXADI4aw7CJxg1164Ne,spotify:track:6PpRXADI4aw7CJxg1164Ne,https://api.spotify.com/v1/tracks/6PpRXADI4aw7CJxg1164Ne,https://api.spotify.com/v1/audio-analysis/6PpRXADI4aw7CJxg1164Ne,143247,4
0.744,0.582,8,-8.336,1,0.0305,0.128,0,0.15,0.794,141.992,audio_features,2cWOvltEM7g2mpjexpTsQT,spotify:track:2cWOvltEM7g2mpjexpTsQT,https://api.spotify.com/v1/tracks/2cWOvltEM7g2mpjexpTsQT,https://api.spotify.com/v1/audio-analysis/2cWOvltEM7g2mpjexpTsQT,147043,4
0.662,0.399,7,-8.933,1,0.0314,0.491,2.4e-05,0.127,0.265,96.05,audio_features,54q7FLhWb9FEObFBziNRTq,spotify:track:54q7FLhWb9FEObFBziNRTq,https://api.spotify.com/v1/tracks/54q7FLhWb9FEObFBziNRTq,https://api.spotify.com/v1/audio-analysis/54q7FLhWb9FEObFBziNRTq,172627,4
0.723,0.682,9,-5.732,1,0.0654,0.159,0,0.429,0.625,107.03,audio_features,6vFbWYHAs0Wg37tr1nSPRI,spotify:track:6vFbWYHAs0Wg37tr1nSPRI,https://api.spotify.com/v1/tracks/6vFbWYHAs0Wg37tr1nSPRI,https://api.spotify.com/v1/audio-analysis/6vFbWYHAs0Wg37tr1nSPRI,110175,4
0.684,0.756,1,-5.989,1,0.0346,0.0775,0,0.206,0.818,131.946,audio_features,75p5bRmvl6VErq5BJrKBOr,spotify:track:75p5bRmvl6VErq5BJrKBOr,https://api.spotify.com/v1/tracks/75p5bRmvl6VErq5BJrKBOr,https://api.spotify.com/v1/audio-analysis/75p5bRmvl6VErq5BJrKBOr,121040,4
0.615,0.603,5,-5.259,1,0.139,0.26,2.28e-05,0.139,0.605,179.99,audio_features,4eIBTgzVW8X1IU8H3GTMC5,spotify:track:4eIBTgzVW8X1IU8H3GTMC5,https://api.spotify.com/v1/tracks/4eIBTgzVW8X1IU8H3GTMC5,https://api.spotify.com/v1/audio-analysis/4eIBTgzVW8X1IU8H3GTMC5,124219,5
0.44,0.369,2,-10.205,1,0.0423,0.385,0,0.145,0.531,103.991,audio_features,57cAiaSBKidKHqBC1FePPn,spotify:track:57cAiaSBKidKHqBC1FePPn,https://api.spotify.com/v1/tracks/57cAiaSBKidKHqBC1FePPn,https://api.spotify.com/v1/audio-analysis/57cAiaSBKidKHqBC1FePPn,138462,4
0.722,0.328,0,-10.564,1,0.0375,0.809,0,0.276,0.672,110.02,audio_features,5keXeMrCGBYXpJYQ0FFqjK,spotify:track:5keXeMrCGBYXpJYQ0FFqjK,https://api.spotify.com/v1/tracks/5keXeMrCGBYXpJYQ0FFqjK,https://api.spotify.com/v1/audio-analysis/5keXeMrCGBYXpJYQ0FFqjK,140038,4
0.405,0.468,10,-7.19,0,0.0503,0.144,0,0.594,0.282,87.481,audio_features,2UE2rURHGOCFu7gNCovm8O,spotify:track:2UE2rURHGOCFu7gNCovm8O,https://api.spotify.com/v1/tracks/2UE2rURHGOCFu7gNCovm8O,https://api.spotify.com/v1/audio-analysis/2UE2rURHGOCFu7gNCovm8O,205971,3
0.529,0.309,0,-9.364,1,0.0302,0.729,0,0.0925,0.196,143.91,audio_features,0QCYp0iQR5w0beNWnGlc4C,spotify:track:0QCYp0iQR5w0beNWnGlc4C,https://api.spotify.com/v1/tracks/0QCYp0iQR5w0beNWnGlc4C,https://api.spotify.com/v1/audio-analysis/0QCYp0iQR5w0beNWnGlc4C,144885,3
0.668,0.709,11,-5.034,1,0.175,0.0153,0,0.242,0.967,175.894,audio_features,3aLMnL5LOmwMXYgnWWPJid,spotify:track:3aLMnL5LOmwMXYgnWWPJid,https://api.spotify.com/v1/tracks/3aLMnL5LOmwMXYgnWWPJid,https://api.spotify.com/v1/audio-analysis/3aLMnL5LOmwMXYgnWWPJid,144512,4
0.83,0.531,4,-5.805,1,0.158,0.317,0,0.0936,0.937,82.488,audio_features,1WbjIWan3JBeOV4wrIveRA,spotify:track:1WbjIWan3JBeOV4wrIveRA,https://api.spotify.com/v1/tracks/1WbjIWan3JBeOV4wrIveRA,https://api.spotify.com/v1/audio-analysis/1WbjIWan3JBeOV4wrIveRA,133366,4
0.679,0.527,1,-7.356,1,0.0544,0.177,0,0.0743,0.752,155.126,audio_features,6jZVjpytansF9eNR7f42yv,spotify:track:6jZVjpytansF9eNR7f42yv,https://api.spotify.com/v1/tracks/6jZVjpytansF9eNR7f42yv,https://api.spotify.com/v1/audio-analysis/6jZVjpytansF9eNR7f42yv,148645,4
0.822,0.5,5,-6.254,0,0.0623,0.282,0,0.208,0.581,100.051,audio_features,79mERrds35hOK0Y8yUIYEi,spotify:track:79mERrds35hOK0Y8yUIYEi,https://api.spotify.com/v1/tracks/79mERrds35hOK0Y8yUIYEi,https://api.spotify.com/v1/audio-analysis/79mERrds35hOK0Y8yUIYEi,128307,4
