id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
4haFjTRgwxsm6t3pfjXoRP,0.683,0.55,-8.339,0.13,0.319,2.79e-05,0.131,0.851,75.01
3Yk0rZxWOETWZcF2EcqhmS,0.784,0.428,-8.697,0.044,0.421,8.91e-06,0.103,0.65,116.994
2y0zJlae50VyzO7NCrQe06,0.777,0.527,-7.195,0.0291,0.126,1.19e-05,0.09,0.753,105.017
6tNQ70jh4OwmPGpYy6R2o9,0.472,0.471,-5.692,0.0603,0.151,0.0,0.14,0.219,105.029
3nAz0OCzeiGbUudc8kXKar,0.737,0.662,-4.84,0.0619,0.0261,3.3e-06,0.74,0.554,91.992
0rRjGruFonCGOt0S5zAJNQ,0.689,0.338,-7.634,0.0629,0.349,5.7e-05,0.0649,0.568,128.012
3Che0Dm9dlytqujcprVAwE,0.655,0.716,-5.077,0.0897,0.476,0.0,0.479,0.521,80.813
7EkWXAI1wn8Ii883ecd9xr,0.345,0.941,-9.918,0.0466,3.84e-05,0.633,0.0511,0.407,179.626
6ZArwNtFh1a4204U7QexUa,0.337,0.314,-10.057,0.0285,0.302,0.0,0.151,0.271,91.317
7MvZSYL3SmiaHIXcjfhAvM,0.595,0.518,-9.574,0.037,0.758,0.0,0.107,0.787,165.879
3LOglsTDAOClfvfdRy11B9,0.6,0.286,-8.691,0.0311,0.0735,0.0,0.168,0.342,104.667
4m00mg7QAq4eEXKkgSqg3Z,0.622,0.492,-7.261,0.0338,0.253,7.01e-05,0.0914,0.824,190.261
2RCBbA3mK2bUwJfMfJRlq6,0.655,0.479,-5.418,0.0265,0.689,0.0,0.18,0.419,91.9
3tl9B6c07WZujRH2FP5hKA,0.609,0.853,-2.318,0.0361,0.0511,0.0,0.379,0.819,127.034
1mjhuvf6QZTniMwb2dHjtp,0.61,0.31,-12.953,0.0405,0.871,3.01e-06,0.0788,0.261,120.025
0xvkTfdXvK7f1bOZ98ekbH,0.734,0.169,-12.166,0.0377,0.85,0.0,0.104,0.455,112.07
5M5ZnM9O8JW2SrukbfxZP8,0.89,0.429,-6.247,0.042,0.0076,0.000692,0.067,0.822,110.078
03LH899Fyk7Fwt1kZsGdM2,0.589,0.748,-4.274,0.0405,0.06,2.3e-06,0.103,0.894,77.526
4EfBubHt9kkZ7rTW4SIOWb,0.386,0.366,-8.745,0.028,0.368,1.68e-06,0.0611,0.256,80.269
1FJccZPc2g1QjG4EzezNKf,0.738,0.666,-6.534,0.0281,0.0927,0.0,0.192,0.793,130.087
6qskolMuSoXPl3C1sgSbfu,0.61,0.441,-7.018,0.0349,0.663,1.41e-05,0.139,0.299,135.873
0zUT6RbKCqHqorVnXVoZcm,0.732,0.459,-8.029,0.0898,0.524,0.0,0.0816,0.481,130.136
1ocFBctDW8m5Xj0Nz9fmC2,0.401,0.419,-10.464,0.0614,0.369,0.0,0.134,0.263,115.072
71rw9MB77BR8LHMFZK8gKV,0.908,0.45,-7.174,0.314,0.0608,0.0,0.0663,0.515,108.056
