id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3gcxonNqBFPHy0jKsn2UgV,0.559,0.235,-14.048,0.0306,0.881,0.00206,0.297,0.241,93.601
0VdR2zRM7iA3B7mkvgZtNy,0.545,0.843,-9.285,0.877,0.803,0.0,0.756,0.468,61.834
2fQeJxp59l2lA7IBUPfF1p,0.0607,0.619,-14.482,0.0465,0.00426,0.746,0.482,0.186,69.758
28or7AIWRbC920wFvNEXTD,0.549,0.173,-14.695,0.0335,0.953,0.000115,0.113,0.219,83.094
1J5deoEVwKY851eVD8bNOb,0.339,0.0681,-22.752,0.0394,0.991,0.845,0.0595,0.0377,67.881
3QlHafri6DXXXuokvatAET,0.838,0.793,-0.967,0.0432,0.533,0.0,0.178,0.854,131.054
1WABIy5v4eDSdiTt5kINIY,0.518,0.725,-13.095,0.0545,0.322,0.839,0.0955,0.526,126.969
0CvMe4J6azCw80SJkqfvXx,0.546,0.762,-8.386,0.0988,0.241,0.000357,0.936,0.85,113.161
3HParaSDmJCAX389YArnSc,0.765,0.45,-11.296,0.116,0.000424,7.68e-06,0.0896,0.517,79.937
1RVSto9iEMSwXd9MDtmVfa,0.63,0.798,-5.952,0.0521,0.0321,0.00275,0.0863,0.72,159.968
1CwDpUvvqJ2zD3Hh6m69NF,0.307,0.939,-4.088,0.0742,0.000449,0.0297,0.213,0.574,173.64
6jGYrW5pzaqyAHJAifMGjl,0.563,0.931,-3.12,0.0726,0.0841,0.0,0.276,0.503,135.951
0bDLgavXGx0Nskjydn1NpF,0.618,0.342,-15.938,0.0438,0.823,0.885,0.132,0.214,148.012
4TIiGXplFoZ6Le0Xo7kSN0,0.636,0.882,-3.206,0.0621,0.753,9.61e-06,0.0889,0.965,82.299
7v7NHYIzIs9anGBUFFMamf,0.826,0.833,-5.762,0.0715,0.0132,0.559,0.284,0.775,130.007
0SFcF4CW8LRgS5lGCAdqEF,0.574,0.912,-7.457,0.0407,0.0973,0.531,0.11,0.766,105.04
481MQDTvvACeFFTIsZmlTQ,0.559,0.346,-9.278,0.0286,0.599,2.64e-06,0.113,0.211,130.01
4KclIOPlQzBXVNph56NAQN,0.627,0.801,-8.42,0.0477,0.0161,0.309,0.48,0.112,120.004
0VBBEkyM1f7OGXL86WgjhU,0.536,0.446,-14.98,0.029,0.833,0.0103,0.106,0.707,133.785
55YfOXDsOV3HHsAfz2oXkO,0.0,0.4,-4.127,0.0,0.0,0.708,0.0,0.0,0.0
66cur0BIlBDmR3KB59NXgj,0.402,0.066,-22.942,0.0415,0.983,0.906,0.165,0.117,63.012
56W4YUjZwDqexmyBsu1f1h,0.746,0.876,-5.798,0.115,0.123,0.0,0.105,0.91,90.999
7KTvZoS6ISDnL4IQotzgmX,0.815,0.681,-4.665,0.119,0.156,0.0,0.44,0.831,127.191
0Eq8UYmldSOq12pG0mj672,0.308,0.0752,-23.528,0.0428,0.804,0.68,0.165,0.0552,144.845
0BkIe6PfS0jR5MmidEHtd9,0.654,0.814,-5.238,0.034,5.84e-05,0.924,0.414,0.538,133.017
4BRylYxcKDn3CZUP1ZFhpD,0.386,0.78,-11.374,0.217,0.0801,0.000247,0.209,0.232,83.187
0xCdQ9jYFDENkE2ck73CAc,0.458,0.928,-3.776,0.0602,0.000982,0.0257,0.14,0.0637,146.043
31m56OhXBUIaBAyxgEfvC0,0.563,0.841,-4.973,0.213,0.152,0.0,0.126,0.746,101.444
3hKCwbXEtJOI7MzKih23de,0.41,0.285,-14.719,0.0332,0.896,0.917,0.0765,0.345,151.304
6m2GHTkdEcvC4fIgRfanUR,0.777,0.813,-10.359,0.0559,0.00868,0.874,0.0628,0.124,129.04
74BnWB5zLHoW8yKXBwDr3N,0.658,0.651,-9.07,0.0293,0.309,0.689,0.102,0.157,122.001
1pq6NNRvwmGtSNGiCgneMx,0.514,0.749,-4.279,0.0265,0.00151,0.0259,0.146,0.554,77.168
6wGUQ5eRRkMwKlpu01kqiz,0.238,0.948,-1.687,0.0947,0.0743,0.841,0.335,0.0337,106.705
52N1b95jTLZMTnGwSdV1Dc,0.762,0.803,-2.964,0.0829,0.000434,2.32e-06,0.133,0.19,105.971
7oHAn1UJUSdGPcDAlbP4Xf,0.364,0.903,-9.107,0.178,0.21,0.0401,0.696,0.715,95.697
3Qud1Y3oZbzht9Wsdzwrf3,0.577,0.944,-6.605,0.041,1.68e-05,0.713,0.134,0.48,149.981
5McXC8UIDBlBciOLyRVZ7E,0.423,0.884,-4.527,0.0424,0.000126,1.49e-05,0.0791,0.582,131.948
11YsX1aEd3aKq0G5jXxxor,0.631,0.98,-3.093,0.0994,0.414,0.0,0.488,0.322,120.029
2YHjI0zpS4c6skr2mP0KRu,0.422,0.806,-3.767,0.0876,0.11,0.022,0.123,0.288,159.81
40XBSN5edJaQbf7D8Oy8lE,0.724,0.624,-11.502,0.0446,0.00583,0.716,0.271,0.926,147.937
